Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,Position,Hiring location,Zip,DOB,Sex,MaritalDesc,Citizenship,DateofJoining,DateofTermination,TermReason,EmploymentStatus,Training hours,Trainings,Cost of training ,Department,ManagerName,ManagerID,Recruitment Source,PerformanceScore,EngagementSurvey,Employee rating,LastPerformanceReview_Date,DaysLateLast30,Absences,EmpType,OTHours
"Adinolfi, Wilson  K",10026,1,5,4,62506,0,19,Production Technician I,MA,1960,07-10-1983,Male ,Single,US Citizen,07-05-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Michael Albert,22,LinkedIn,Exceeds,4.6,5,1/17/2019,0,1,Permanent,2
"Ait Sidi, Karthikeyan   ",10084,5,3,3,104437,1,27,Sr. DBA,MA,2148,05-05-1975,Male ,Married,US Citizen,3-30-2015,6/16/2016,career change,Voluntarily Terminated,4,cloud computing,3000,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,2/24/2016,0,17,Permanent,3
"Akinkuolie, Sarah",10196,5,5,3,64955,1,20,Production Technician II,MA,1810,09-09-1988,Female,Married,US Citizen,07-05-2011,9/24/2012,hours,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,5/15/2012,0,3,Permanent,3
"Alagbe,Trina",10088,1,5,3,64991,0,19,Production Technician I,MA,1886,09-09-1988,Female,Married,US Citizen,01-07-2008,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,01-03-2019,0,15,Permanent,2
"Anderson, Carol ",10069,5,5,3,50825,1,19,Production Technician I,MA,2169,09-08-1989,Female,Divorced,US Citizen,07-11-2011,09-06-2016,return to school,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,Google Search,Fully Meets,5,4,02-01-2016,0,2,Permanent,1
"Anderson, Linda  ",10002,1,5,4,57568,0,19,Production Technician I,MA,1844,05-02-1977,Female,Single,US Citizen,01-09-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,LinkedIn,Exceeds,5,5,01-07-2019,0,15,contractor,3
"Andreola, Colby",10194,1,4,3,95660,0,24,Software Engineer,MA,2110,05-03-1979,Female,Single,US Citizen,11-10-2014,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,01-02-2019,0,19,contractor,4
"Athwal, Sam",10062,1,5,3,59365,0,19,Production Technician I,MA,2199,02-07-1983,Male ,Widowed,US Citizen,9-30-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,2/25/2019,0,19,contractor,1
"Bachiochi, Linda",10114,3,5,3,47837,0,19,Production Technician I,MA,1902,02-11-1970,Female,Single,US Citizen,07-06-2009,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,1/25/2019,0,4,Permanent,2
"Bacong, Alejandro ",10250,1,3,3,50178,0,14,IT Support,MA,1886,01-07-1988,Male ,Divorced,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Peter Monroe,7,Indeed,Fully Meets,5,5,2/18/2019,0,16,Permanent,3
"Baczenski, Rachael  ",10252,5,5,3,54670,1,19,Production Technician I,MA,1902,01-12-1974,Female,Married,US Citizen,01-10-2011,01-12-2017,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,David Stanley,14,Diversity Job Fair,Fully Meets,4.2,4,1/30/2016,0,12,Permanent,2
"Barbara, Thomas",10242,5,5,3,47211,1,19,Production Technician I,MA,2062,02-01-1974,Male ,Married,US Citizen,04-02-2012,9/19/2016,unhappy,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,4.2,3,05-06-2016,0,15,Permanent,3
"Barbossa, Hector",10012,1,3,4,92328,0,9,Data Analyst,TX,78230,07-04-1988,Male ,Divorced,US Citizen,11-10-2014,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,2/25/2019,0,9,Permanent,3
"Barone, Francesco  A",10265,1,5,3,58709,0,19,Production Technician I,MA,1810,07-10-1983,Male ,Single,US Citizen,2-20-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.6,4,2/14/2019,0,7,contractor,2
"Barton, Nader",10066,5,5,3,52505,1,19,Production Technician I,MA,2747,07-01-1977,Male ,Divorced,US Citizen,9-24-2012,04-06-2017,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,On-line Web application,Fully Meets,5,5,03-02-2017,0,1,contractor,1
"Bates, Norman",10061,4,5,3,57834,1,19,Production Technician I,MA,2050,10-07-1981,Male ,Single,US Citizen,2-21-2011,08-04-2017,attendance,Terminated for Cause,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Google Search,Fully Meets,5,4,04-05-2017,0,20,contractor,3
"Beak, Kimberly  ",10023,2,5,4,70131,0,20,Production Technician II,MA,2145,04-06-1966,Female,Married,US Citizen,7-21-2016,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,1/14/2019,0,16,Permanent,4
"Beatrice, Courtney ",10055,1,5,3,59026,0,19,Production Technician I,MA,1915,10-09-1970,Female,Single,Eligible NonCitizen,04-04-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,Google Search,Fully Meets,5,5,1/14/2019,0,12,contractor,1
"Becker, Renee",10245,4,3,3,110000,1,8,Database Administrator,MA,2026,04-04-1986,Female,Single,US Citizen,07-07-2014,09-12-2015,performance,Terminated for Cause,4,python,2000,IT/IS,Simon Roup,4,Google Search,Fully Meets,4.5,4,1/15/2015,0,8,Permanent,2
"Becker, Scott",10277,3,5,3,53250,0,19,Production Technician I,MA,2452,04-06-1979,Male ,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,LinkedIn,Fully Meets,4.2,4,01-11-2019,0,13,Permanent,3
"Bernstein, Sean",10046,1,5,3,51044,0,19,Production Technician I,MA,2072,12-02-1970,Male ,Single,US Citizen,04-02-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Google Search,Fully Meets,5,3,1/14/2019,0,13,contractor,3
"Biden, Lowan  M",10226,1,5,3,64919,0,19,Production Technician I,MA,2027,12-09-1958,Female,Divorced,US Citizen,08-09-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.2,3,01-10-2019,0,2,contractor,4
"Billis, Helen",10003,1,5,4,62910,0,19,Production Technician I,MA,2031,09-01-1989,Female,Married,US Citizen,07-07-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Indeed,Exceeds,5,3,2/27/2019,0,19,contractor,1
"Blount, Dianna",10294,1,5,2,66441,0,20,Production Technician II,MA,2171,09-01-1990,Female,Single,US Citizen,04-04-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Michael Albert,22,CareerBuilder,Needs Improvement,2,3,2/27/2019,2,3,contractor,2
"Bondwell, Betsy",10267,5,5,3,57815,1,20,Production Technician II,MA,2210,01-02-1967,Female,Single,US Citizen,01-10-2011,04-04-2014,career change,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.8,5,03-04-2014,0,5,Permanent,3
"Booth, Frank",10199,4,3,3,103613,1,30,Enterprise Architect,CT,6033,07-08-1964,Male ,Single,US Citizen,2-17-2014,2/19/2016,Learned that he is a gangster,Terminated for Cause,4,python,2000,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,3.5,5,01-10-2016,0,2,Permanent,2
"Boutwell, Bonalyn",10081,1,1,3,106367,0,26,Sr. Accountant,MA,2468,04-04-1987,Female,Married,US Citizen,2-16-2015,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,2/18/2019,0,4,Permanent,3
"Bozzi, Charles",10175,5,5,3,74312,1,18,Production Manager,MA,1901,03-10-1970,Male ,Single,US Citizen,9-30-2013,08-07-2014,retiring,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Janet King,2,Indeed,Fully Meets,3.39,3,2/20/2014,0,14,Permanent,3
"Brill, Donna",10177,5,5,3,53492,1,19,Production Technician I,MA,1701,08-03-1990,Female,Married,US Citizen,04-02-2012,6/15/2013,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,David Stanley,14,Google Search,Fully Meets,3.35,4,03-04-2013,0,6,Permanent,2
"Brown, Mia",10238,1,1,3,63000,0,1,Accountant I,MA,1450,11-03-1987,Female,Married,US Citizen,10-27-2008,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,4.5,2,1/15/2019,0,14,Permanent,1
"Buccheri, Joseph  ",10184,1,5,3,65288,0,20,Production Technician II,MA,1013,07-10-1983,Male ,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,Google Search,Fully Meets,3.19,3,02-01-2019,0,9,contractor,3
"Bugali, Josephine ",10203,3,5,3,64375,0,19,Production Technician I,MA,2043,10-08-1969,Female,Separated,US Citizen,11-11-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.5,5,1/21/2019,0,17,contractor,2
